"d8_1","d8_2","d8_3","d9","d10","d11","d14","d181","estred13","d16","d260","d20","d21_1","d21_4_1","d21_11","d21_12","d21_13","d21_14_1","d21_15_1","d21_15_4","d21_18","d21_18_1","d21_19","d21_19_1","d23","d24","d25","h171_2","ht2","ht9","YHOG","YSVL","e27","e45_1","e45_2","e45_3","e46","e51_4","e210_1","e51_5","e210_2","e212","e215","e218"
2,0,6000,3,2,1,2,2,10,2,5,3,1,0,2,2,2,0,0,0,2,0,2,0,1,0,1,0,1,1,1963,19963,82,2,1,2,2,0,0,0,0,3,0,0
8,0,7500,2,1,1,1,2,2,1,3,3,1,0,2,2,1,0,0,0,2,0,2,0,3,0,3,2,2,0,3333.33333333333,42441.3333333333,28,2,2,2,2,3,1,9,1,3,0,0
2,0,15000,4,3,1,1,2,12,1,5,3,1,0,2,2,1,1,2,3,1,1,1,2,3,2,5,0,3,1,6081,100105.833333333,7,2,1,2,1,0,0,0,0,0,0,0
8,0,15000,3,2,1,1,2,8,1,5,3,1,0,2,2,1,0,2,1,1,1,2,0,3,1,4,0,3,1,3926,111852,33,2,1,2,2,3,1,0,0,3,0,0
1,22000,25000,4,3,1,1,1,3,1,3,3,1,0,2,2,1,0,2,1,1,1,2,0,2,0,2,0,1,1,2197,92394,69,2,1,2,2,3,2,3,2,3,3,2
1,1,8000,4,3,1,1,2,11,1,5,3,2,1,2,2,2,0,1,0,2,0,2,0,1,5,6,0,4,0,17286,40997,3,1,2,2,2,0,0,0,0,0,0,0
5,0,14000,4,3,1,2,2,8,2,5,3,1,0,2,2,1,0,1,1,1,1,2,0,4,1,5,0,2,1,6363,91605,21,2,1,2,2,3,1,1,1,3,0,0
3,1474,0,3,2,3,1,2,12,4,5,3,1,0,2,2,2,0,1,0,2,0,1,1,2,2,4,0,2,0,14978,22581,38,1,2,2,2,0,0,0,0,3,0,0
1,33000,25000,4,2,1,1,2,3,1,1,3,1,0,2,2,1,3,2,1,1,1,2,0,2,1,3,0,1,0,2271,214179.666666667,2,2,1,2,1,0,0,0,0,0,0,0
2,0,5000,1,1,1,1,2,2,1,1,3,1,0,2,2,1,0,2,1,2,0,2,0,2,0,2,1,1,1,18846.6666666667,58026.6666666667,27,2,1,2,2,3,1,3,1,3,3,3
2,0,12000,5,3,1,1,2,6,2,5,3,1,0,2,2,1,0,1,0,1,1,2,0,4,1,5,0,4,3,0,19600,33,1,2,2,2,3,1,0,0,2,0,0
8,0,10000,3,2,1,1,2,3,1,5,3,1,2,2,2,1,0,1,0,2,0,2,0,3,3,6,0,5,1,5461,30829,42,1,2,2,2,0,0,0,0,3,0,0
2,0,10000,2,1,1,1,2,10,1,6,3,1,0,2,2,1,0,0,0,1,1,1,1,2,1,3,0,1,0,12452,51215,31,1,2,2,2,0,0,0,0,3,0,0
2,0,5000,3,2,1,1,2,7,2,1,3,1,0,2,2,1,0,2,1,1,1,1,1,2,0,2,0,1,2,4054,25054,67,2,1,2,2,0,0,0,0,3,0,0
5,0,14500,5,2,1,1,2,2,1,3,3,1,0,2,2,1,0,2,1,2,0,2,0,2,2,4,0,1,0,14524,97048,2,2,1,2,1,0,0,0,0,0,0,0
2,0,20000,3,3,1,2,2,4,1,5,3,1,3,2,2,1,0,1,0,1,1,2,0,4,2,6,0,2,2,10639,61039,42,1,2,2,2,3,1,0,0,3,0,0
2,0,8000,4,2,1,1,2,11,1,5,3,1,2,2,2,1,0,0,0,1,1,2,0,2,0,2,0,1,2,4064,31622,69,1,2,2,2,0,0,0,0,3,0,0
9,0,6000,4,3,1,1,2,1,1,3,3,1,1,2,2,1,0,0,0,2,0,2,0,2,0,2,0,2,0,0,18814,22,1,2,2,2,3,1,0,0,1,0,0
2,0,30000,4,2,1,1,2,6,2,1,3,1,1,1,2,1,1,2,1,2,0,2,0,2,0,2,0,1,2,3902,110302,78,2,1,2,1,3,1,1,1,2,0,0
2,0,15000,4,2,1,1,2,11,2,5,3,1,2,2,2,2,2,0,0,1,1,2,0,3,0,3,0,1,1,1955,41410,52,1,2,2,2,0,0,0,0,3,0,0
2,0,6000,4,1,1,1,2,7,1,6,3,2,1,2,2,2,0,0,0,1,1,2,0,1,0,1,0,0,0,0,6000,61,1,2,2,2,0,0,0,0,3,0,0
1,10600,10600,3,2,1,1,2,9,1,5,3,1,0,2,2,2,0,0,0,1,1,1,1,2,0,2,0,1,0,3910,37910,57,2,2,2,2,3,1,0,0,3,0,0
2,0,40000,7,4,1,5,1,6,2,5,3,2,0,1,2,1,8,2,2,1,2,2,0,2,2,4,0,2,0,29064,219888,5,2,2,1,1,0,0,0,0,0,0,0
8,0,8000,5,3,1,1,2,10,1,5,3,1,1,2,2,1,0,0,0,2,0,2,0,2,1,3,0,2,1,3926,41389,28,1,2,2,2,3,1,0,0,2,0,0
8,0,30000,6,3,1,2,1,3,1,5,3,1,0,1,2,1,3,1,1,1,1,2,0,2,2,4,0,1,0,4524,135048,12,2,1,2,1,0,0,0,0,0,0,0
2,0,12000,3,2,1,1,2,9,2,5,3,1,0,2,2,1,0,2,0,1,1,2,0,2,0,2,0,1,2,3920,34316,72,1,2,2,2,0,0,0,0,3,0,0
